achievement_id,condition_type,condition_param,threshold,achievement_point_reward,achievement_point_reward_vip,name_key,desc_key
module_beam_tier4_count_3,ModuleTierCount,beam_4,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier5_count_1,ModuleTierCount,beam_5,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier5_count_2,ModuleTierCount,beam_5,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier5_count_3,ModuleTierCount,beam_5,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier6_count_1,ModuleTierCount,beam_6,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier6_count_2,ModuleTierCount,beam_6,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier6_count_3,ModuleTierCount,beam_6,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier7_count_1,ModuleTierCount,beam_7,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier7_count_2,ModuleTierCount,beam_7,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier7_count_3,ModuleTierCount,beam_7,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier8_count_1,ModuleTierCount,beam_8,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier8_count_2,ModuleTierCount,beam_8,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier8_count_3,ModuleTierCount,beam_8,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier9_count_1,ModuleTierCount,beam_9,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier9_count_2,ModuleTierCount,beam_9,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier9_count_3,ModuleTierCount,beam_9,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier10_count_1,ModuleTierCount,beam_10,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier10_count_2,ModuleTierCount,beam_10,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier10_count_3,ModuleTierCount,beam_10,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier11_count_1,ModuleTierCount,beam_11,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier11_count_2,ModuleTierCount,beam_11,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier11_count_3,ModuleTierCount,beam_11,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier12_count_1,ModuleTierCount,beam_12,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier12_count_2,ModuleTierCount,beam_12,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier12_count_3,ModuleTierCount,beam_12,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier13_count_1,ModuleTierCount,beam_13,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier13_count_2,ModuleTierCount,beam_13,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier13_count_3,ModuleTierCount,beam_13,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier14_count_1,ModuleTierCount,beam_14,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier14_count_2,ModuleTierCount,beam_14,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_beam_tier14_count_3,ModuleTierCount,beam_14,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier2_count_1,ModuleTierCount,missile_2,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier2_count_2,ModuleTierCount,missile_2,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier2_count_3,ModuleTierCount,missile_2,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier3_count_1,ModuleTierCount,missile_3,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier3_count_2,ModuleTierCount,missile_3,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier3_count_3,ModuleTierCount,missile_3,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier4_count_1,ModuleTierCount,missile_4,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier4_count_2,ModuleTierCount,missile_4,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier4_count_3,ModuleTierCount,missile_4,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier5_count_1,ModuleTierCount,missile_5,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier5_count_2,ModuleTierCount,missile_5,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier5_count_3,ModuleTierCount,missile_5,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier6_count_1,ModuleTierCount,missile_6,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier6_count_2,ModuleTierCount,missile_6,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier6_count_3,ModuleTierCount,missile_6,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier7_count_1,ModuleTierCount,missile_7,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier7_count_2,ModuleTierCount,missile_7,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier7_count_3,ModuleTierCount,missile_7,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier8_count_1,ModuleTierCount,missile_8,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier8_count_2,ModuleTierCount,missile_8,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier8_count_3,ModuleTierCount,missile_8,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier9_count_1,ModuleTierCount,missile_9,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier9_count_2,ModuleTierCount,missile_9,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier9_count_3,ModuleTierCount,missile_9,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier10_count_1,ModuleTierCount,missile_10,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier10_count_2,ModuleTierCount,missile_10,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier10_count_3,ModuleTierCount,missile_10,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier11_count_1,ModuleTierCount,missile_11,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier11_count_2,ModuleTierCount,missile_11,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier11_count_3,ModuleTierCount,missile_11,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier12_count_1,ModuleTierCount,missile_12,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier12_count_2,ModuleTierCount,missile_12,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier12_count_3,ModuleTierCount,missile_12,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier13_count_1,ModuleTierCount,missile_13,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier13_count_2,ModuleTierCount,missile_13,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier13_count_3,ModuleTierCount,missile_13,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier14_count_1,ModuleTierCount,missile_14,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier14_count_2,ModuleTierCount,missile_14,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_missile_tier14_count_3,ModuleTierCount,missile_14,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier2_count_1,ModuleTierCount,hangar_2,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier2_count_2,ModuleTierCount,hangar_2,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier2_count_3,ModuleTierCount,hangar_2,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier3_count_1,ModuleTierCount,hangar_3,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier3_count_2,ModuleTierCount,hangar_3,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier3_count_3,ModuleTierCount,hangar_3,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier4_count_1,ModuleTierCount,hangar_4,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier4_count_2,ModuleTierCount,hangar_4,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier4_count_3,ModuleTierCount,hangar_4,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier5_count_1,ModuleTierCount,hangar_5,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier5_count_2,ModuleTierCount,hangar_5,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier5_count_3,ModuleTierCount,hangar_5,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier6_count_1,ModuleTierCount,hangar_6,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier6_count_2,ModuleTierCount,hangar_6,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier6_count_3,ModuleTierCount,hangar_6,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier7_count_1,ModuleTierCount,hangar_7,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier7_count_2,ModuleTierCount,hangar_7,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier7_count_3,ModuleTierCount,hangar_7,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier8_count_1,ModuleTierCount,hangar_8,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier8_count_2,ModuleTierCount,hangar_8,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier8_count_3,ModuleTierCount,hangar_8,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier9_count_1,ModuleTierCount,hangar_9,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier9_count_2,ModuleTierCount,hangar_9,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier9_count_3,ModuleTierCount,hangar_9,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier10_count_1,ModuleTierCount,hangar_10,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier10_count_2,ModuleTierCount,hangar_10,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier10_count_3,ModuleTierCount,hangar_10,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier11_count_1,ModuleTierCount,hangar_11,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier11_count_2,ModuleTierCount,hangar_11,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier11_count_3,ModuleTierCount,hangar_11,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier12_count_1,ModuleTierCount,hangar_12,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier12_count_2,ModuleTierCount,hangar_12,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier12_count_3,ModuleTierCount,hangar_12,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier13_count_1,ModuleTierCount,hangar_13,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier13_count_2,ModuleTierCount,hangar_13,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier13_count_3,ModuleTierCount,hangar_13,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier14_count_1,ModuleTierCount,hangar_14,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier14_count_2,ModuleTierCount,hangar_14,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_hangar_tier14_count_3,ModuleTierCount,hangar_14,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier2_count_1,ModuleTierCount,shield_2,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier2_count_2,ModuleTierCount,shield_2,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier2_count_3,ModuleTierCount,shield_2,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier3_count_1,ModuleTierCount,shield_3,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier3_count_2,ModuleTierCount,shield_3,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier3_count_3,ModuleTierCount,shield_3,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier4_count_1,ModuleTierCount,shield_4,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier4_count_2,ModuleTierCount,shield_4,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier4_count_3,ModuleTierCount,shield_4,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier5_count_1,ModuleTierCount,shield_5,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier5_count_2,ModuleTierCount,shield_5,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier5_count_3,ModuleTierCount,shield_5,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier6_count_1,ModuleTierCount,shield_6,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier6_count_2,ModuleTierCount,shield_6,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier6_count_3,ModuleTierCount,shield_6,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier7_count_1,ModuleTierCount,shield_7,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier7_count_2,ModuleTierCount,shield_7,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier7_count_3,ModuleTierCount,shield_7,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier8_count_1,ModuleTierCount,shield_8,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier8_count_2,ModuleTierCount,shield_8,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier8_count_3,ModuleTierCount,shield_8,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier9_count_1,ModuleTierCount,shield_9,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier9_count_2,ModuleTierCount,shield_9,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier9_count_3,ModuleTierCount,shield_9,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier10_count_1,ModuleTierCount,shield_10,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier10_count_2,ModuleTierCount,shield_10,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier10_count_3,ModuleTierCount,shield_10,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier11_count_1,ModuleTierCount,shield_11,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier11_count_2,ModuleTierCount,shield_11,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier11_count_3,ModuleTierCount,shield_11,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier12_count_1,ModuleTierCount,shield_12,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier12_count_2,ModuleTierCount,shield_12,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier12_count_3,ModuleTierCount,shield_12,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier13_count_1,ModuleTierCount,shield_13,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier13_count_2,ModuleTierCount,shield_13,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier13_count_3,ModuleTierCount,shield_13,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier14_count_1,ModuleTierCount,shield_14,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier14_count_2,ModuleTierCount,shield_14,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_shield_tier14_count_3,ModuleTierCount,shield_14,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier2_count_1,ModuleTierCount,interceptor_2,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier2_count_2,ModuleTierCount,interceptor_2,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier2_count_3,ModuleTierCount,interceptor_2,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier3_count_1,ModuleTierCount,interceptor_3,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier3_count_2,ModuleTierCount,interceptor_3,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier3_count_3,ModuleTierCount,interceptor_3,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier4_count_1,ModuleTierCount,interceptor_4,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier4_count_2,ModuleTierCount,interceptor_4,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier4_count_3,ModuleTierCount,interceptor_4,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier5_count_1,ModuleTierCount,interceptor_5,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier5_count_2,ModuleTierCount,interceptor_5,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier5_count_3,ModuleTierCount,interceptor_5,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier6_count_1,ModuleTierCount,interceptor_6,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier6_count_2,ModuleTierCount,interceptor_6,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier6_count_3,ModuleTierCount,interceptor_6,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier7_count_1,ModuleTierCount,interceptor_7,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier7_count_2,ModuleTierCount,interceptor_7,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier7_count_3,ModuleTierCount,interceptor_7,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier8_count_1,ModuleTierCount,interceptor_8,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier8_count_2,ModuleTierCount,interceptor_8,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier8_count_3,ModuleTierCount,interceptor_8,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier9_count_1,ModuleTierCount,interceptor_9,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier9_count_2,ModuleTierCount,interceptor_9,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier9_count_3,ModuleTierCount,interceptor_9,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier10_count_1,ModuleTierCount,interceptor_10,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier10_count_2,ModuleTierCount,interceptor_10,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier10_count_3,ModuleTierCount,interceptor_10,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier11_count_1,ModuleTierCount,interceptor_11,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier11_count_2,ModuleTierCount,interceptor_11,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier11_count_3,ModuleTierCount,interceptor_11,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier12_count_1,ModuleTierCount,interceptor_12,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier12_count_2,ModuleTierCount,interceptor_12,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier12_count_3,ModuleTierCount,interceptor_12,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier13_count_1,ModuleTierCount,interceptor_13,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier13_count_2,ModuleTierCount,interceptor_13,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier13_count_3,ModuleTierCount,interceptor_13,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier14_count_1,ModuleTierCount,interceptor_14,1,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier14_count_2,ModuleTierCount,interceptor_14,2,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
module_interceptor_tier14_count_3,ModuleTierCount,interceptor_14,3,50,50,UIAchievement_Name_module_tier_count,UIAchievement_Desc_module_tier_count
hull_unlock_hull_4_1_21100,HullUnlocked,hull_4_1_21100,1,50,50,UIAchievement_Name_hull_unlock,UIAchievement_Desc_hull_unlock
hull_unlock_hull_5_1_22100,HullUnlocked,hull_5_1_22100,1,50,50,UIAchievement_Name_hull_unlock,UIAchievement_Desc_hull_unlock
hull_unlock_hull_6_1_22200,HullUnlocked,hull_6_1_22200,1,50,50,UIAchievement_Name_hull_unlock,UIAchievement_Desc_hull_unlock
hull_unlock_hull_6_1_22201,HullUnlocked,hull_6_1_22201,1,50,50,UIAchievement_Name_hull_unlock,UIAchievement_Desc_hull_unlock
hull_unlock_hull_6_1_22210,HullUnlocked,hull_6_1_22210,1,50,50,UIAchievement_Name_hull_unlock,UIAchievement_Desc_hull_unlock
hull_unlock_hull_6_1_22211,HullUnlocked,hull_6_1_22211,1,50,50,UIAchievement_Name_hull_unlock,UIAchievement_Desc_hull_unlock
hull_unlock_hull_7_1_32200,HullUnlocked,hull_7_1_32200,1,50,50,UIAchievement_Name_hull_unlock,UIAchievement_Desc_hull_unlock
hull_unlock_hull_7_1_32201,HullUnlocked,hull_7_1_32201,1,50,50,UIAchievement_Name_hull_unlock,UIAchievement_Desc_hull_unlock
hull_unlock_hull_7_1_32210,HullUnlocked,hull_7_1_32210,1,50,50,UIAchievement_Name_hull_unlock,UIAchievement_Desc_hull_unlock
hull_unlock_hull_7_1_32211,HullUnlocked,hull_7_1_32211,1,50,50,UIAchievement_Name_hull_unlock,UIAchievement_Desc_hull_unlock
hull_unlock_hull_8_1_33200,HullUnlocked,hull_8_1_33200,1,50,50,UIAchievement_Name_hull_unlock,UIAchievement_Desc_hull_unlock
hull_unlock_hull_8_1_33201,HullUnlocked,hull_8_1_33201,1,50,50,UIAchievement_Name_hull_unlock,UIAchievement_Desc_hull_unlock
hull_unlock_hull_8_1_33210,HullUnlocked,hull_8_1_33210,1,50,50,UIAchievement_Name_hull_unlock,UIAchievement_Desc_hull_unlock
